Season,Rank,Player,Club,Goals,IsTop10,Position,Age,Appearances,Goals_prev_season,Assists,Penalty_Goals,Non-Penalty_Goals,Goals_per_90,Big_6_Club_Feature,Club_League_Rank,Club_Total_Goals,League_Goals_per_Match,Games_in_Season
6,6,40,1,16,1,1,29,38,14.0,6.0,1.0,15,0.42,1.0,2,65,2.7,38.0
5,1,35,10,31,1,1,27,33,23.0,12.0,6.0,25,0.94,1.0,2,101,2.77,38.0
5,2,11,10,21,1,1,24,29,11.0,7.0,1.0,20,0.72,1.0,2,101,2.77,38.0
5,3,56,13,20,1,2,30,35,7.0,9.0,6.0,14,0.57,1.0,1,102,2.77,38.0
5,4,54,12,17,1,1,28,29,12.0,10.0,1.0,16,0.59,1.0,7,64,2.77,38.0
5,6,40,1,16,1,1,27,36,11.0,9.0,2.0,14,0.44,1.0,4,68,2.77,38.0
5,8,20,4,14,1,3,23,35,9.0,7.0,2.0,12,0.4,1.0,3,71,2.77,38.0
5,10,49,6,15,1,1,21,31,17.0,1.0,0.0,15,0.48,0.0,5,61,2.77,38.0
4,1,48,12,26,1,1,29,38,30.0,10.0,3.0,23,0.68,1.0,1,86,2.85,38.0
4,2,35,10,23,1,1,26,33,11.0,5.0,1.0,22,0.7,1.0,7,71,2.85,38.0
4,3,27,18,21,1,3,23,33,10.0,4.0,0.0,21,0.64,1.0,5,66,2.85,38.0
4,9,53,1,14,1,3,24,32,8.0,10.0,0.0,14,0.44,1.0,4,72,2.85,38.0
3,1,48,1,30,1,1,28,38,18.0,1.0,1.0,29,0.79,1.0,3,74,2.8,38.0
3,2,54,12,27,1,1,26,34,11.0,5.0,1.0,26,0.79,1.0,2,89,2.8,38.0
3,4,9,7,17,1,1,29,37,12.0,6.0,1.0,16,0.46,0.0,9,56,2.8,38.0
3,9,21,13,14,1,1,26,30,12.0,2.0,0.0,14,0.47,1.0,1,93,2.8,38.0
3,10,22,18,11,1,1,28,33,11.0,11.0,0.0,11,0.33,1.0,4,66,2.8,38.0
2,1,7,11,20,1,1,26,31,23.0,5.0,1.0,19,0.65,1.0,3,60,2.8,38.0
2,3,48,1,18,1,1,27,25,10.0,1.0,1.0,17,0.72,1.0,4,72,2.8,38.0
2,4,13,17,17,1,1,26,34,14.0,3.0,0.0,17,0.5,0.0,9,47,2.8,38.0
1,1,15,4,29,1,1,31,32,10.0,10.0,1.0,28,0.91,1.0,1,103,2.77,38.0
1,2,54,12,26,1,1,24,32,16.0,4.0,1.0,25,0.81,1.0,2,86,2.77,38.0
1,4,7,13,23,1,1,26,35,14.0,7.0,0.0,23,0.66,1.0,5,73,2.77,38.0
1,5,25,4,22,1,2,32,36,12.0,14.0,1.0,21,0.61,1.0,1,103,2.77,38.0
1,6,24,10,18,1,1,26,22,14.0,4.0,1.0,17,0.82,1.0,7,61,2.77,38.0
0,1,39,4,19,1,1,30,37,11.0,2.0,0.0,19,0.51,1.0,3,68,2.52,38.0
