Date,FTR,HomeTeam,AwayTeam,Avg_Odds_H,Avg_Odds_D,Avg_Odds_A,form_goal_diff,form_shot_target_diff,form_conceded_diff,HTHG,HTAG,HS,AS,AST,HST,HC,AC,HY,AY,HR,AR,HF,AF,H_form_FTHG,H_form_FTAG,H_form_HTHG,H_form_HTAG,H_form_HS,H_form_AS,H_form_HF,H_form_AF,H_form_HC,H_form_AC,H_form_HST,H_form_AST,H_form_HY,H_form_AY,H_form_HR,H_form_AR,A_form_FTHG,A_form_FTAG,A_form_HTHG,A_form_HTAG,A_form_HS,A_form_AS,A_form_HF,A_form_AF,A_form_HC,A_form_AC,A_form_HST,A_form_AST,A_form_HY,A_form_AY,A_form_HR,A_form_AR,H_H2H_win_pct,A_H2H_win_pct,H2H_draw_pct
2000-09-23,A,Bradford,Southampton,2.2,3.25,2.75,0.6000000000000001,-0.20000000000000018,-1.0,0.0,1.0,14.0,6.0,4.0,6.0,7.0,5.0,3.0,1.0,0.0,0.0,14.0,18.0,2.2,0.2,1.0,0.0,12.4,11.8,12.4,12.6,5.2,5.8,6.2,6.6,0.2,1.6,0.0,0.0,1.6,1.2,0.0,0.4,12.8,9.2,11.8,13.0,7.4,6.8,6.4,4.8,1.6,1.2,0.2,0.0,0.0,0.0,0.0
2000-09-23,D,Liverpool,Sunderland,1.375,3.75,7.5,0.19999999999999973,0.1999999999999993,0.5999999999999999,1.0,1.0,11.0,8.0,3.0,6.0,12.0,3.0,2.0,2.0,0.0,0.0,14.0,18.0,2.4,1.4,1.0,0.4,14.2,8.2,13.4,12.6,8.6,4.6,7.6,4.2,1.0,2.4,0.2,0.4,2.2,0.8,1.0,0.2,15.2,9.8,17.4,16.4,5.2,5.8,7.4,4.4,1.8,2.6,0.0,0.0,0.0,0.0,0.0
2000-09-24,D,Leicester,Everton,1.75,3.25,4.025,-1.4,1.0,-1.0,1.0,0.0,10.0,9.0,3.0,4.0,9.0,3.0,3.0,1.0,0.0,0.0,14.0,13.0,0.6,0.8,0.0,0.2,14.0,8.0,12.2,13.0,9.6,4.8,7.6,4.6,1.6,1.4,0.2,0.0,2.0,1.8,0.8,1.0,10.2,11.0,13.0,10.0,6.8,4.8,6.6,6.4,2.4,1.4,0.0,0.2,0.0,0.0,0.0
2000-09-30,A,Southampton,Middlesbrough,2.1500000000000004,3.225,2.875,0.0,1.3999999999999995,-0.8,0.0,2.0,16.0,7.0,5.0,8.0,6.0,6.0,2.0,2.0,0.0,0.0,6.0,22.0,1.4,1.0,0.0,0.4,13.2,9.0,11.0,12.6,7.6,6.8,6.8,4.6,1.2,0.8,0.2,0.0,1.4,1.8,0.2,0.6,11.2,10.4,11.6,12.0,7.2,5.6,5.4,6.6,2.6,1.4,0.0,0.0,0.0,0.0,0.0
2000-09-30,D,West Ham,Bradford,1.495,3.55,5.75,-0.8,-1.2000000000000002,0.9999999999999999,1.0,0.0,14.0,9.0,6.0,6.0,7.0,2.0,3.0,2.0,0.0,0.0,14.0,10.0,1.0,1.4,0.2,1.0,14.6,10.8,12.4,12.0,7.2,5.0,5.6,6.2,0.8,1.6,0.0,0.0,1.8,0.4,0.8,0.2,12.8,10.2,12.4,13.0,5.4,6.0,6.8,6.2,0.8,1.6,0.0,0.0,0.0,0.0,0.0
2000-09-30,A,Man City,Newcastle,2.4,3.25,2.5,0.3999999999999999,-0.8000000000000007,0.7999999999999999,0.0,0.0,9.0,15.0,9.0,7.0,10.0,8.0,0.0,1.0,0.0,0.0,16.0,12.0,1.2,1.4,0.2,0.8,12.6,7.4,13.4,15.6,7.4,4.0,4.6,4.4,1.8,3.2,0.0,0.0,0.8,0.6,0.2,0.4,12.6,9.4,13.8,14.6,4.6,6.2,5.4,4.0,0.4,1.2,0.0,0.0,0.0,0.0,0.0
2000-09-30,D,Charlton,Coventry,1.8250000000000002,3.275,3.675,1.2000000000000002,1.4000000000000004,-0.20000000000000018,0.0,1.0,12.0,10.0,6.0,8.0,6.0,6.0,1.0,2.0,0.0,0.0,8.0,16.0,1.8,1.4,0.8,0.6,11.8,8.4,13.0,12.6,6.6,8.0,6.2,4.0,1.4,1.4,0.2,0.0,0.6,1.6,0.2,1.0,12.6,10.2,10.0,13.6,6.0,5.8,4.8,6.2,1.2,1.8,0.0,0.0,0.0,0.0,0.0
2000-09-30,A,Everton,Ipswich,1.685,3.325,4.25,0.40000000000000013,0.20000000000000018,0.8,0.0,1.0,7.0,9.0,7.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,6.0,5.0,1.6,2.0,1.0,1.0,9.6,11.2,12.4,9.6,8.0,4.4,5.8,6.2,2.6,1.4,0.0,0.0,1.2,1.2,0.2,0.4,13.8,8.6,10.2,14.0,5.6,4.2,5.6,3.8,1.0,2.0,0.0,0.0,0.0,0.0,0.0
2000-09-30,H,Aston Villa,Derby,1.54,3.45,5.25,-0.3999999999999999,-0.40000000000000036,-0.8,2.0,0.0,12.0,11.0,6.0,7.0,6.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0,1.6,1.0,1.0,0.4,12.4,9.6,10.0,11.6,6.0,6.2,6.6,4.8,0.8,1.6,0.0,0.0,2.0,1.8,1.0,0.4,12.2,9.6,13.8,14.8,7.4,5.4,7.0,5.0,2.4,2.2,0.2,0.0,0.0,0.0,0.0
2000-09-30,H,Leeds,Tottenham,1.71,3.3,4.15,-0.5999999999999999,-1.4000000000000004,0.9999999999999999,0.0,1.0,14.0,10.0,5.0,7.0,6.0,4.0,0.0,2.0,0.0,0.0,11.0,20.0,0.8,1.4,0.2,1.2,10.8,12.6,14.8,18.4,6.4,5.0,4.6,6.4,1.8,1.8,0.2,0.0,1.4,0.4,0.6,0.4,13.6,9.8,11.2,11.4,6.8,3.8,6.0,4.0,0.4,1.2,0.0,0.0,0.0,0.0,0.0
2000-10-01,H,Arsenal,Man United,2.5,3.075,2.51,-0.7999999999999998,0.39999999999999947,0.0,1.0,0.0,7.0,13.0,4.0,5.0,3.0,11.0,2.0,3.0,0.0,0.0,18.0,17.0,2.2,1.6,0.8,0.4,14.8,10.8,11.6,15.2,6.2,6.0,7.6,5.2,1.0,1.6,0.0,0.0,3.0,1.6,1.2,1.2,14.0,9.8,13.4,12.6,6.0,3.8,7.2,4.8,1.8,1.4,0.0,0.0,0.0,0.0,0.0
2000-10-01,H,Chelsea,Liverpool,2.1500000000000004,3.1,3.0,-1.0000000000000002,0.1999999999999993,0.0,2.0,0.0,11.0,10.0,2.0,5.0,3.0,1.0,1.0,1.0,0.0,0.0,14.0,14.0,1.2,1.6,1.0,0.8,12.2,10.8,15.4,18.2,8.4,5.8,6.6,5.0,1.8,1.6,0.0,0.0,2.2,1.6,1.0,0.6,13.0,8.4,11.2,12.2,9.0,3.0,6.4,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
2000-10-01,D,Sunderland,Leicester,2.0,3.2,3.25,0.8,0.5999999999999996,-0.20000000000000007,0.0,0.0,11.0,8.0,2.0,5.0,6.0,2.0,3.0,1.0,0.0,0.0,12.0,8.0,1.6,0.6,0.8,0.4,14.4,9.6,15.4,17.2,6.2,5.8,6.6,4.2,1.6,2.4,0.0,0.0,0.8,0.8,0.2,0.2,12.6,9.0,11.8,12.8,9.2,4.4,6.0,4.8,1.6,1.0,0.0,0.0,0.0,0.0,0.0
2000-10-14,H,Sunderland,Chelsea,2.875,3.2,2.175,-0.20000000000000018,0.7999999999999998,-0.7999999999999999,0.0,0.0,16.0,11.0,2.0,11.0,5.0,0.0,0.0,1.0,1.0,1.0,12.0,18.0,1.4,0.6,0.8,0.4,13.8,9.4,15.8,16.4,6.0,5.0,6.6,4.0,2.0,2.4,0.0,0.0,1.6,1.4,1.2,0.6,12.0,10.6,15.6,18.6,7.6,4.0,5.8,4.0,2.0,1.6,0.0,0.0,0.0,0.0,0.0
2000-10-14,H,Man City,Bradford,1.75,3.4,3.75,-1.0,-2.2,0.6,2.0,0.0,13.0,10.0,2.0,10.0,5.0,6.0,0.0,2.0,0.0,0.0,10.0,16.0,1.0,1.2,0.2,0.4,11.6,8.6,15.2,15.6,8.4,4.6,5.0,4.6,1.4,2.8,0.0,0.0,2.0,0.6,1.0,0.2,14.0,9.4,13.0,12.6,5.6,4.8,7.2,5.8,1.2,1.6,0.0,0.0,0.0,0.0,0.0
2000-10-14,H,Leeds,Charlton,1.5,3.5,5.75,0.19999999999999996,-1.5999999999999996,0.40000000000000013,1.0,0.0,22.0,10.0,8.0,10.0,8.0,5.0,0.0,1.0,0.0,0.0,7.0,9.0,1.4,1.6,0.2,1.0,10.6,11.4,14.6,18.4,6.8,4.2,4.4,5.2,1.4,2.2,0.2,0.0,1.2,1.2,0.6,0.4,10.6,9.0,12.2,12.8,6.2,8.6,6.0,4.4,1.6,1.6,0.2,0.0,0.0,0.0,0.0
2000-10-14,A,Leicester,Man United,3.75,3.25,1.8250000000000002,-1.9999999999999998,-0.39999999999999947,-0.3999999999999999,0.0,1.0,10.0,16.0,5.0,4.0,6.0,7.0,0.0,0.0,0.0,0.0,8.0,11.0,0.8,0.8,0.2,0.2,13.2,8.0,12.0,12.0,9.2,3.2,6.2,3.6,2.0,0.8,0.0,0.0,2.8,1.2,1.4,1.0,12.0,10.8,14.6,14.2,5.2,5.0,6.6,4.6,2.0,2.0,0.0,0.0,0.0,0.0,0.0
2000-10-14,D,Everton,Southampton,1.85,3.275,3.575,0.19999999999999996,-2.4000000000000004,1.2000000000000002,0.0,0.0,7.0,7.0,4.0,3.0,9.0,8.0,1.0,3.0,0.0,0.0,16.0,13.0,1.2,2.2,0.6,1.2,8.6,11.6,11.4,8.8,6.6,4.2,4.6,6.8,2.4,0.8,0.0,0.0,1.0,1.0,0.0,0.6,13.6,8.6,10.8,15.8,7.4,7.8,7.0,4.8,1.6,1.2,0.2,0.0,0.0,0.0,0.0
2000-10-14,H,Coventry,Tottenham,2.56,3.175,2.385,-1.0,-0.7999999999999998,0.6000000000000001,2.0,0.0,0.0,4.0,5.0,5.0,3.0,5.0,0.0,4.0,1.0,0.0,12.0,16.0,0.8,1.6,0.2,0.8,12.2,10.4,10.2,14.4,6.2,6.0,5.4,5.8,1.0,1.6,0.0,0.0,1.8,1.0,0.4,0.6,13.4,9.8,10.8,13.4,7.2,4.2,6.2,4.6,0.4,1.6,0.0,0.0,0.0,0.0,0.0
2000-10-14,H,Arsenal,Aston Villa,1.4649999999999999,3.575,6.25,-0.8000000000000003,0.5999999999999996,0.0,0.0,0.0,16.0,8.0,3.0,10.0,7.0,4.0,1.0,4.0,0.0,1.0,12.0,20.0,1.4,1.0,0.8,0.0,12.6,12.0,12.8,15.6,5.2,7.6,6.8,5.2,1.4,2.0,0.0,0.0,2.2,1.0,1.2,0.2,12.4,9.6,7.4,9.4,5.8,5.4,6.2,4.6,1.0,1.6,0.0,0.0,0.0,0.0,0.0
2000-10-14,D,Ipswich,West Ham,2.385,3.175,2.56,0.19999999999999996,0.0,0.6000000000000001,1.0,0.0,11.0,7.0,2.0,8.0,8.0,5.0,0.0,4.0,0.0,0.0,10.0,11.0,1.0,1.8,0.2,0.6,12.4,8.6,9.4,12.6,5.0,3.2,5.2,4.6,1.0,1.8,0.0,0.0,0.8,1.2,0.4,0.8,14.0,11.0,12.8,12.2,7.2,4.4,5.2,6.4,1.2,2.0,0.0,0.0,0.0,0.0,0.0
2000-10-15,A,Derby,Liverpool,3.575,3.225,1.865,0.19999999999999973,0.5999999999999996,0.6000000000000001,0.0,1.0,6.0,16.0,11.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0,18.0,13.0,2.4,1.6,1.0,0.4,12.2,10.4,11.6,13.2,6.4,6.2,6.6,5.4,2.2,1.8,0.2,0.0,2.2,1.0,1.4,0.4,12.4,8.6,12.6,13.8,8.2,3.0,6.0,3.6,1.2,2.2,0.0,0.0,0.0,0.0,0.0
2000-10-16,A,Middlesbrough,Newcastle,2.425,3.1500000000000004,2.55,0.9999999999999999,-0.1999999999999993,1.2,0.0,1.0,8.0,15.0,8.0,2.0,6.0,6.0,2.0,1.0,0.0,0.0,8.0,13.0,1.4,2.0,0.2,0.6,11.4,8.6,10.4,12.4,7.6,5.2,5.4,5.4,2.6,1.8,0.0,0.0,0.4,0.8,0.0,0.4,11.4,10.4,14.4,15.0,5.8,7.4,5.6,5.4,0.4,1.4,0.0,0.0,0.0,0.0,0.0
2000-10-21,A,Newcastle,Everton,1.5150000000000001,3.4,5.75,-0.20000000000000007,1.6000000000000005,-1.0,0.0,0.0,11.0,9.0,4.0,4.0,5.0,4.0,1.0,3.0,0.0,0.0,9.0,12.0,0.6,1.0,0.0,0.4,10.4,10.8,13.8,14.0,5.8,7.0,5.4,5.8,0.6,1.4,0.0,0.0,0.8,2.0,0.4,0.8,7.8,10.8,12.4,9.4,7.0,4.8,3.8,6.4,2.4,1.0,0.0,0.0,0.0,0.0,0.0
2000-10-21,A,West Ham,Arsenal,3.2,3.225,2.0,-0.3999999999999999,-2.3999999999999995,0.6,0.0,2.0,11.0,13.0,5.0,3.0,5.0,4.0,1.0,0.0,0.0,0.0,15.0,11.0,0.8,1.2,0.4,0.6,12.8,9.2,11.0,11.6,8.0,3.2,5.4,5.0,0.8,2.2,0.0,0.0,1.2,0.6,0.6,0.0,13.4,11.0,12.0,15.2,5.2,7.2,7.8,4.8,1.0,2.6,0.0,0.2,0.0,0.0,0.0
2000-10-21,H,Tottenham,Derby,1.4449999999999998,3.675,6.25,-0.19999999999999996,0.20000000000000018,-1.0,2.0,1.0,18.0,8.0,7.0,8.0,7.0,4.0,1.0,2.0,0.0,0.0,9.0,16.0,1.6,0.8,0.6,0.2,11.2,8.4,11.0,14.6,6.4,4.2,5.8,4.4,0.2,2.0,0.2,0.0,1.8,1.8,1.0,0.4,11.6,12.6,13.6,13.8,5.0,5.8,5.6,6.8,1.8,1.6,0.2,0.0,0.0,0.0,0.0
2000-10-21,H,Man United,Leeds,1.495,3.55,5.75,-0.19999999999999996,-1.2000000000000002,0.40000000000000013,1.0,0.0,26.0,5.0,0.0,14.0,12.0,4.0,0.0,2.0,0.0,0.0,9.0,18.0,1.6,1.8,1.0,1.2,9.8,12.8,13.8,14.4,5.4,6.2,5.0,4.8,2.0,1.8,0.0,0.0,1.8,1.4,0.4,0.6,13.8,11.8,12.4,15.4,6.6,4.4,6.2,6.2,1.0,2.0,0.2,0.0,0.0,0.0,0.0
2000-10-21,H,Chelsea,Coventry,1.4,3.675,7.25,0.19999999999999996,1.2000000000000002,-0.3999999999999999,2.0,0.0,33.0,3.0,3.0,19.0,10.0,0.0,0.0,1.0,0.0,1.0,6.0,8.0,1.4,1.0,1.0,0.6,12.8,10.2,14.8,17.8,7.2,2.8,7.0,3.4,1.4,1.6,0.2,0.2,1.2,1.4,0.6,0.6,9.6,8.6,10.4,14.0,5.6,5.4,5.8,5.6,0.8,2.2,0.2,0.0,0.0,0.0,0.0
2000-10-21,A,Bradford,Ipswich,2.3,3.2,2.675,0.3999999999999999,1.2000000000000002,-1.2000000000000002,0.0,1.0,7.0,12.0,3.0,3.0,9.0,1.0,1.0,0.0,0.0,0.0,15.0,14.0,1.2,0.6,1.0,0.2,12.4,10.2,12.6,13.8,5.6,5.8,6.8,5.4,1.2,1.8,0.0,0.0,0.8,1.8,0.4,0.6,12.2,8.6,9.0,12.2,5.4,3.8,5.6,4.4,0.8,2.4,0.0,0.0,0.0,0.0,0.0
2000-10-21,H,Liverpool,Leicester,1.5,3.4,6.0,1.2000000000000002,-1.2000000000000002,0.40000000000000013,0.0,0.0,24.0,8.0,3.0,11.0,10.0,9.0,1.0,2.0,0.0,0.0,8.0,10.0,1.6,1.6,0.8,0.6,11.4,10.0,13.6,15.0,7.4,2.2,4.6,5.0,1.4,2.0,0.0,0.0,0.4,1.2,0.2,0.4,12.8,9.8,11.2,11.6,9.2,4.2,5.8,4.0,1.8,0.6,0.0,0.0,0.0,0.0,0.0
2000-10-21,H,Charlton,Middlesbrough,2.1500000000000004,3.225,2.875,0.6000000000000001,2.0,-0.8,0.0,0.0,5.0,8.0,6.0,2.0,5.0,6.0,2.0,2.0,0.0,0.0,11.0,19.0,1.6,1.2,0.8,0.4,13.4,8.8,10.8,11.4,5.8,6.8,6.8,5.4,1.0,1.2,0.0,0.0,1.0,2.0,0.2,0.6,11.2,10.6,10.4,13.0,6.6,5.4,4.8,6.2,2.4,1.6,0.0,0.0,0.0,0.0,0.0
2000-10-22,D,Aston Villa,Sunderland,1.76,3.3,4.0,0.40000000000000013,-0.6000000000000005,0.4,0.0,0.0,17.0,7.0,3.0,4.0,7.0,3.0,1.0,3.0,0.0,0.0,11.0,17.0,1.8,0.8,0.6,0.2,13.4,9.4,7.2,12.0,5.6,4.8,6.8,4.4,1.2,2.0,0.0,0.2,1.4,0.4,0.6,0.2,13.6,8.4,14.4,17.2,6.2,2.8,7.4,2.6,1.6,2.0,0.2,0.2,0.0,0.0,0.0
2000-10-23,A,Southampton,Man City,1.95,3.225,3.3,-0.19999999999999996,-0.39999999999999947,0.19999999999999996,0.0,1.0,19.0,11.0,4.0,6.0,9.0,3.0,1.0,2.0,0.0,0.0,10.0,15.0,1.0,1.0,0.0,0.6,13.4,7.8,11.2,15.2,7.2,6.6,6.4,5.0,1.2,1.2,0.0,0.0,1.2,0.8,0.6,0.0,13.0,9.0,13.6,14.0,7.6,5.0,6.8,4.4,1.0,2.8,0.0,0.0,0.0,0.0,0.0
2000-10-28,H,West Ham,Newcastle,2.325,3.225,2.6100000000000003,0.20000000000000007,-0.8000000000000007,0.40000000000000013,0.0,0.0,11.0,12.0,5.0,4.0,3.0,8.0,3.0,2.0,0.0,0.0,15.0,10.0,0.8,1.6,0.4,1.0,12.0,9.6,11.2,11.2,6.8,3.4,4.6,5.0,0.8,1.8,0.0,0.0,0.6,1.2,0.0,0.4,10.6,10.6,12.2,12.2,5.8,6.6,5.4,6.0,0.8,1.4,0.0,0.0,0.0,0.0,0.0
2000-10-28,H,Arsenal,Man City,1.2650000000000001,4.5,9.0,0.6,1.0,0.0,1.0,0.0,22.0,6.0,2.0,14.0,10.0,4.0,0.0,3.0,0.0,1.0,6.0,13.0,1.2,0.8,0.4,0.4,13.8,10.0,11.6,14.8,5.4,6.0,7.4,3.6,1.2,2.2,0.0,0.2,0.6,0.8,0.4,0.2,14.0,9.4,12.2,13.6,7.6,4.8,6.4,3.8,0.6,2.4,0.0,0.0,0.0,0.0,0.0
2000-10-28,H,Aston Villa,Charlton,1.605,3.25,5.0,0.20000000000000018,0.5999999999999996,-0.4,2.0,0.0,12.0,7.0,4.0,7.0,9.0,6.0,3.0,2.0,0.0,0.0,13.0,11.0,1.6,0.4,0.6,0.0,13.8,9.8,7.6,12.8,6.0,4.8,6.6,4.6,1.2,2.0,0.0,0.2,1.4,0.8,0.4,0.4,12.0,8.4,9.6,12.8,6.0,5.8,6.0,5.4,0.8,1.4,0.0,0.0,0.0,0.0,0.0
2000-10-28,H,Chelsea,Tottenham,1.58,3.375,5.0,0.6000000000000001,4.0,0.19999999999999996,2.0,0.0,9.0,6.0,3.0,7.0,2.0,3.0,3.0,3.0,0.0,0.0,12.0,14.0,2.6,1.2,1.4,0.6,17.4,8.8,12.6,15.2,8.2,1.6,10.0,3.4,1.4,1.2,0.2,0.4,2.0,1.0,1.0,0.4,11.8,7.8,10.0,15.2,5.6,4.4,6.0,4.8,0.2,2.0,0.2,0.0,0.0,0.0,0.0
