HomeTeam,AwayTeam,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult,HomeTeam_label,AwayTeam_label,FullTimeResult_label,HalfTimeResult_label
Sunderland,Leeds,A,1,0,H,38,22,0,2
Tottenham,Charlton,D,0,1,A,40,12,1,0
West Brom,Arsenal,A,1,0,H,42,0,0,2
West Ham,Fulham,D,0,0,D,43,18,1,1
Aston Villa,Middlesbrough,H,1,0,H,1,28,2,2
Blackburn,West Ham,D,1,1,D,3,43,1,1
Charlton,West Brom,H,1,0,H,12,42,2,2
Everton,Bolton,D,0,0,D,17,5,1,1
Fulham,Man City,A,0,0,D,18,26,0,1
Leeds,Chelsea,H,2,0,H,22,13,2,2
Man United,Birmingham,H,1,0,H,27,2,2,2
Southampton,Sunderland,H,0,0,D,36,38,2,1
Arsenal,Chelsea,H,1,0,H,0,13,2,2
Aston Villa,Bolton,H,1,0,H,1,5,2,2
Blackburn,Middlesbrough,H,0,0,D,3,28,2,1
Everton,Man City,D,1,1,D,17,26,1,1
Leeds,Birmingham,H,1,0,H,22,2,2,2
Man United,Sunderland,H,0,1,A,27,38,2,0
Chelsea,Charlton,H,3,1,H,13,12,2,2
Liverpool,Aston Villa,D,1,0,H,24,1,1,2
Man City,Leeds,H,1,0,H,26,22,2,2
Middlesbrough,Southampton,D,0,1,A,28,36,1,0
Sunderland,Blackburn,D,0,0,D,38,3,1,1
West Brom,Man United,A,1,2,A,42,27,0,0
West Ham,Newcastle,D,2,1,H,43,29,1,2
Birmingham,Arsenal,A,0,2,A,2,0,0,0
Tottenham,Everton,H,1,1,D,40,17,2,1
Aston Villa,Tottenham,A,0,0,D,1,40,0,1
Blackburn,Birmingham,D,1,0,H,3,2,1,2
Charlton,Bolton,D,0,0,D,12,5,1,1
Everton,Sunderland,H,0,1,A,17,38,2,0
Leeds,West Brom,D,0,0,D,22,42,1,1
Man United,Chelsea,H,1,1,D,27,13,2,1
Newcastle,Man City,H,1,0,H,29,26,2,2
Southampton,Liverpool,A,0,1,A,36,24,0,0
Arsenal,West Ham,H,1,1,D,0,43,2,1
Fulham,Middlesbrough,H,1,0,H,18,28,2,2
Charlton,West Ham,H,2,1,H,12,43,2,2
Newcastle,Bolton,H,1,0,H,29,5,2,2
Bolton,Everton,A,0,2,A,5,17,0,0
Chelsea,Leeds,H,0,1,A,13,22,2,0
Middlesbrough,Aston Villa,A,2,2,D,28,1,0,1
Sunderland,Southampton,A,0,0,D,38,36,0,1
Liverpool,Arsenal,D,0,1,A,24,0,1,0
Man City,Fulham,H,1,1,D,26,18,2,1
Tottenham,Newcastle,A,0,0,D,40,29,0,1
West Brom,Charlton,A,0,0,D,42,12,0,1
West Ham,Blackburn,H,0,1,A,43,3,2,0
Arsenal,Fulham,H,1,1,D,0,18,2,1
Bolton,Birmingham,H,1,1,D,5,2,2,1
Chelsea,Tottenham,D,1,1,D,13,40,1,1
Everton,Leeds,H,0,0,D,17,22,2,1
Man City,West Brom,A,1,1,D,26,42,0,1
Southampton,Man United,A,0,2,A,36,27,0,0
Sunderland,Charlton,A,0,3,A,38,12,0,0
Aston Villa,Blackburn,H,2,0,H,1,3,2,2
West Ham,Liverpool,A,0,2,A,43,24,0,0
Birmingham,Man United,A,0,0,D,2,27,0,1
Birmingham,Chelsea,A,0,1,A,2,13,0,0
Blackburn,Southampton,H,1,0,H,3,36,2,2
Fulham,Aston Villa,H,2,1,H,18,1,2,2
Leeds,West Ham,H,1,0,H,22,43,2,2
Liverpool,Middlesbrough,D,0,1,A,24,28,1,0
Tottenham,Sunderland,H,2,1,H,40,38,2,2
West Brom,Bolton,D,0,1,A,42,5,1,0
Man United,Man City,D,1,0,H,27,26,1,2
Newcastle,Arsenal,D,0,1,A,29,0,1,0
Fulham,West Brom,H,0,0,D,18,42,2,1
Bolton,Man United,D,0,0,D,5,27,1,1
Charlton,Aston Villa,H,0,0,D,12,1,2,1
Chelsea,Blackburn,A,0,0,D,13,3,0,1
Everton,Southampton,H,0,1,A,17,36,2,0
Leeds,Newcastle,A,0,1,A,22,29,0,0
Sunderland,Middlesbrough,A,0,2,A,38,28,0,0
Birmingham,Liverpool,H,1,0,H,2,24,2,2
West Brom,West Ham,A,0,1,A,42,43,0,0
Tottenham,Fulham,D,1,1,D,40,18,1,1
Blackburn,Man City,H,1,0,H,3,26,2,2
Middlesbrough,Everton,D,0,1,A,28,17,1,0
Newcastle,Chelsea,H,1,1,D,29,13,2,1
Southampton,West Brom,H,1,0,H,36,42,2,2
West Ham,Tottenham,H,1,0,H,43,40,2,2
Arsenal,Charlton,H,2,0,H,0,12,2,2
Aston Villa,Birmingham,A,0,0,D,1,2,0,1
Middlesbrough,Newcastle,H,0,0,D,28,29,2,1
Liverpool,Bolton,H,1,0,H,24,5,2,2
Aston Villa,Man United,A,0,1,A,1,27,0,0
Blackburn,Arsenal,H,1,0,H,3,0,2,2
Charlton,Newcastle,A,0,1,A,12,29,0,0
Fulham,Southampton,D,1,0,H,18,36,1,2
Leeds,Middlesbrough,A,1,2,A,22,28,0,0
Sunderland,Bolton,A,0,0,D,38,5,0,1
Man City,Birmingham,H,0,0,D,26,2,2,1
Tottenham,Liverpool,A,0,0,D,40,24,0,1
West Brom,Chelsea,A,0,1,A,42,13,0,0
Birmingham,West Brom,H,0,0,D,2,42,2,1
Man United,Fulham,H,1,0,H,27,18,2,2
Middlesbrough,Charlton,D,0,1,A,28,12,1,0
Newcastle,Blackburn,H,1,0,H,29,3,2,2
Southampton,Aston Villa,D,1,2,A,36,1,1,0
Arsenal,Everton,H,1,0,H,0,17,2,2
Liverpool,Leeds,H,2,1,H,24,22,2,2
Bolton,Tottenham,H,0,0,D,5,40,2,1
Bolton,Man City,H,1,0,H,5,26,2,2
Charlton,Leeds,A,1,3,A,12,22,0,0
Man United,Liverpool,H,1,0,H,27,24,2,2
Middlesbrough,West Brom,H,1,0,H,28,42,2,2
Southampton,West Ham,D,1,0,H,36,43,1,2
Sunderland,Chelsea,A,1,0,H,38,13,0,2
Tottenham,Birmingham,H,1,0,H,40,2,2,2
Everton,Newcastle,H,1,1,D,17,29,2,1
Fulham,Blackburn,A,0,2,A,18,3,0,0
Birmingham,Sunderland,H,1,0,H,2,38,2,2
Blackburn,Charlton,H,1,0,H,3,12,2,2
Chelsea,Bolton,H,0,0,D,13,5,2,1
Leeds,Tottenham,D,1,2,A,22,40,1,0
Liverpool,Fulham,H,1,0,H,24,18,2,2
Newcastle,Man United,A,1,4,A,29,27,0,0
West Brom,Everton,A,1,2,A,42,17,0,0
Arsenal,Man United,D,0,1,A,0,27,1,0
Tottenham,Man City,A,0,2,A,40,26,0,0
Aston Villa,Chelsea,H,1,0,H,1,13,2,2
Charlton,Birmingham,A,0,1,A,12,2,0,0
Everton,Liverpool,A,0,1,A,17,24,0,0
Fulham,Newcastle,H,0,1,A,18,29,2,0
Man United,Blackburn,H,2,1,H,27,3,2,2
Middlesbrough,Arsenal,A,0,0,D,28,0,0,1
Southampton,Leeds,H,2,0,H,36,22,2,2
Sunderland,West Brom,A,0,2,A,38,42,0,0
Birmingham,Southampton,H,0,1,A,2,36,2,0
Chelsea,Everton,H,1,0,H,13,17,2,2
Liverpool,Charlton,H,0,0,D,24,12,2,1
Newcastle,Aston Villa,D,1,0,H,29,1,1,2
West Brom,Tottenham,A,1,1,D,42,40,0,1
Leeds,Fulham,H,1,0,H,22,18,2,2
Birmingham,Middlesbrough,H,2,0,H,2,28,2,2
Bolton,Arsenal,D,0,0,D,5,0,1,1
Charlton,Southampton,H,1,0,H,12,36,2,2
Chelsea,Fulham,D,1,0,H,13,18,1,2
Everton,Aston Villa,H,0,0,D,17,1,2,1
Leeds,Blackburn,A,1,1,D,22,3,0,1
Sunderland,Newcastle,A,0,1,A,38,29,0,0
West Brom,Liverpool,A,0,1,A,42,24,0,0
Man City,West Ham,A,0,0,D,26,43,0,1
Tottenham,Man United,A,0,0,D,40,27,0,1
Aston Villa,Sunderland,H,0,0,D,1,38,2,1
Blackburn,West Brom,D,1,0,H,3,42,1,2
Fulham,Everton,H,2,0,H,18,17,2,2
Liverpool,Man City,A,0,0,D,24,26,0,1
Man United,Charlton,H,3,1,H,27,12,2,2
Middlesbrough,Tottenham,H,3,0,H,28,40,2,2
Newcastle,Birmingham,H,1,0,H,29,2,2,2
West Ham,Chelsea,H,0,0,D,43,13,2,1
Arsenal,Southampton,H,5,1,H,0,36,2,2
Birmingham,West Ham,D,0,0,D,2,43,1,1
Bolton,Middlesbrough,H,2,0,H,5,28,2,2
Charlton,Fulham,A,0,1,A,12,18,0,0
Chelsea,Liverpool,H,2,1,H,13,24,2,2
Everton,Man United,A,1,1,D,17,27,0,1
Leeds,Aston Villa,H,1,1,D,22,1,2,1
Man City,Southampton,A,0,1,A,26,36,0,0
Sunderland,Arsenal,A,0,2,A,38,0,0,0
Tottenham,Blackburn,A,0,2,A,40,3,0,0
West Brom,Newcastle,D,0,1,A,42,29,1,0
Birmingham,Tottenham,H,1,0,H,2,40,2,2
Blackburn,Wolves,H,2,0,H,3,45,2,2
Fulham,Middlesbrough,H,1,1,D,18,28,2,1
Leicester,Southampton,D,2,0,H,23,36,1,2
Man United,Bolton,H,1,0,H,27,5,2,2
Portsmouth,Aston Villa,H,1,0,H,32,1,2,2
Charlton,Man City,A,0,2,A,12,26,0,0
Leeds,Newcastle,D,1,1,D,22,29,1,1
Liverpool,Chelsea,A,0,1,A,24,13,0,0
Bolton,Blackburn,D,2,0,H,5,3,1,2
Chelsea,Leicester,H,2,1,H,13,23,2,2
Everton,Fulham,H,3,0,H,17,18,2,2
Man City,Portsmouth,D,0,1,A,26,32,1,0
Newcastle,Man United,A,1,0,H,29,27,0,2
Southampton,Birmingham,D,0,0,D,36,2,1,1
Tottenham,Leeds,H,1,1,D,40,22,2,1
Wolves,Charlton,A,0,4,A,45,12,0,0
Aston Villa,Liverpool,D,0,0,D,1,24,1,1
Middlesbrough,Arsenal,A,0,3,A,28,0,0,0
Blackburn,Man City,A,1,1,D,3,26,0,1
Charlton,Everton,D,1,1,D,12,17,1,1
Leicester,Middlesbrough,D,0,0,D,23,28,1,1
Portsmouth,Bolton,H,0,0,D,32,5,2,1
Liverpool,Tottenham,D,0,0,D,24,40,1,1
Man United,Wolves,H,0,0,D,27,45,2,1
Aston Villa,Leicester,H,3,0,H,1,23,2,2
Chelsea,Blackburn,D,1,1,D,13,3,1,1
Middlesbrough,Leeds,A,0,1,A,28,22,0,0
Newcastle,Birmingham,A,0,0,D,29,2,0,1
Tottenham,Fulham,A,0,1,A,40,18,0,0
Wolves,Portsmouth,D,0,0,D,45,32,1,1
Man City,Arsenal,A,1,0,H,26,0,0,2
Southampton,Man United,H,0,0,D,36,27,2,1
Arsenal,Portsmouth,D,1,1,D,0,32,1,1
Blackburn,Liverpool,A,1,1,D,3,24,0,1
Charlton,Man United,A,0,0,D,12,27,0,1
Chelsea,Tottenham,H,2,1,H,13,40,2,2
Southampton,Wolves,H,1,0,H,36,45,2,2
Birmingham,Fulham,D,1,1,D,2,18,1,1
Man City,Aston Villa,H,0,1,A,26,1,2,0
Leicester,Leeds,H,2,0,H,23,22,2,2
Fulham,Man City,D,0,0,D,18,26,1,1
Leeds,Birmingham,A,0,0,D,22,2,0,1
Liverpool,Leicester,H,1,0,H,24,23,2,2
Newcastle,Bolton,D,0,0,D,29,5,1,1
Portsmouth,Blackburn,A,0,2,A,32,3,0,0
Tottenham,Southampton,A,0,2,A,40,36,0,0
Wolves,Chelsea,A,0,2,A,45,13,0,0
Man United,Arsenal,D,0,0,D,27,0,1,1
Middlesbrough,Everton,H,1,0,H,28,17,2,2
Arsenal,Newcastle,H,1,1,D,0,29,2,1
Birmingham,Portsmouth,H,1,0,H,2,32,2,2
Bolton,Wolves,D,0,1,A,5,45,1,0
Leicester,Man United,A,0,3,A,23,27,0,0
Southampton,Middlesbrough,A,0,1,A,36,28,0,0
Blackburn,Fulham,A,0,1,A,3,18,0,0
Charlton,Liverpool,H,2,1,H,12,24,2,2
Everton,Leeds,H,3,0,H,17,22,2,2
Man City,Tottenham,D,0,0,D,26,40,1,1
Fulham,Leicester,H,1,0,H,18,23,2,2
Liverpool,Arsenal,A,1,1,D,24,0,0,1
Newcastle,Southampton,H,1,0,H,29,36,2,2
Portsmouth,Charlton,A,1,0,H,32,12,0,2
Tottenham,Everton,H,1,0,H,40,17,2,2
Wolves,Man City,H,0,0,D,45,26,2,1
Aston Villa,Bolton,D,0,0,D,1,5,1,1
Middlesbrough,Chelsea,A,0,1,A,28,13,0,0
Birmingham,Chelsea,D,0,0,D,2,13,1,1
Arsenal,Chelsea,H,1,1,D,0,13,2,1
Fulham,Wolves,D,0,0,D,18,45,1,1
Leeds,Man United,A,0,0,D,22,27,0,1
Man City,Bolton,H,1,1,D,26,5,2,1
Portsmouth,Liverpool,H,1,0,H,32,24,2,2
Birmingham,Aston Villa,D,0,0,D,2,1,1,1
Leicester,Tottenham,A,1,0,H,23,40,0,2
Blackburn,Charlton,A,0,1,A,3,12,0,0
Fulham,Newcastle,A,2,1,H,18,29,0,2
Bolton,Birmingham,A,0,1,A,5,2,0,0
Chelsea,Man City,H,1,0,H,13,26,2,2
Liverpool,Leeds,H,1,1,D,24,22,2,1
Man United,Fulham,A,1,1,D,27,18,0,1
Newcastle,Portsmouth,H,2,0,H,29,32,2,2
Southampton,Blackburn,H,0,0,D,36,3,2,1
Wolves,Leicester,H,0,3,A,45,23,2,0
Charlton,Arsenal,D,1,1,D,12,0,1,1
Everton,Chelsea,A,0,0,D,17,13,0,1
Leeds,Arsenal,A,0,3,A,22,0,0,0
Man United,Portsmouth,H,1,0,H,27,32,2,2
Middlesbrough,Wolves,H,0,0,D,28,45,2,1
Newcastle,Aston Villa,D,1,1,D,29,1,1,1
Tottenham,Bolton,A,0,0,D,40,5,0,1
Fulham,Liverpool,A,1,1,D,18,24,0,1
Leicester,Blackburn,H,0,0,D,23,3,2,1
Birmingham,Charlton,A,0,1,A,2,12,0,0
Arsenal,Tottenham,H,0,1,A,0,40,2,0
Aston Villa,Middlesbrough,A,0,1,A,1,28,0,0
Charlton,Fulham,H,1,0,H,12,18,2,2
Portsmouth,Leeds,H,2,1,H,32,22,2,2
Wolves,Birmingham,D,0,0,D,45,2,1,1
Chelsea,Newcastle,H,3,0,H,13,29,2,2
Man City,Leicester,A,0,1,A,26,23,0,0
Blackburn,Everton,H,2,0,H,3,17,2,2
Birmingham,Arsenal,A,0,1,A,2,0,0,0
Everton,Wolves,H,2,0,H,17,45,2,2
Leeds,Bolton,A,0,2,A,22,5,0,0
Leicester,Charlton,D,1,0,H,23,12,1,2
Man United,Blackburn,H,2,0,H,27,3,2,2
Middlesbrough,Liverpool,D,0,0,D,28,24,1,1
Newcastle,Man City,H,0,0,D,29,26,2,1
Southampton,Chelsea,A,0,0,D,36,13,0,1
Tottenham,Aston Villa,H,0,0,D,40,1,2,1
Fulham,Portsmouth,H,2,0,H,18,32,2,2
Aston Villa,Southampton,H,1,0,H,1,36,2,2
Blackburn,Tottenham,H,0,0,D,3,40,2,1
Bolton,Everton,H,1,0,H,5,17,2,2
Portsmouth,Leicester,A,0,1,A,32,23,0,0
Wolves,Newcastle,D,1,1,D,45,29,1,1
Arsenal,Fulham,D,0,0,D,0,18,1,1
Chelsea,Man United,H,1,0,H,13,27,2,2
Liverpool,Birmingham,H,1,1,D,24,2,2,1
Man City,Middlesbrough,A,0,1,A,26,28,0,0
Birmingham,Blackburn,A,0,0,D,2,3,0,1
Fulham,Bolton,H,0,0,D,18,5,2,1
Leeds,Chelsea,D,1,0,H,22,13,1,2
Man United,Aston Villa,H,2,0,H,27,1,2,2
Middlesbrough,Portsmouth,D,0,0,D,28,32,1,1
